Title,Company,Experience,Location,Skills,Summary
iOS Game Developer,MyCitySurat,1 to 3 Yrs,Surat,"Skills :Java Script, jQuery, AJAX, IOS, Swift","Candidate should be BCA, MCA, Diploma in IT / CE, BE in IT / CE. Should have 0-3 years of experience in same field. Job Timing : 9:00am - 6:30pm."
Jewellery CAD Designer,MyCitySurat,2 to 3 Yrs,Surat,"Skills :Computer Aided Design, innovative with strong designing skills",Candidate should be HSC or Graduate. Should have 2-3 years of experience in same field. Must have speciality in face making. Job Timing : 9am to 6pm. Salary :Rs.15000/- to
Jewellery Manual Designer,MyCitySurat,1 Yrs,Surat,"Skills :Computer Aided Design, innovative with strong designing skills","Candidate should be HSC to Graduate. Should have minimum 1 year of experience. Job Timing : 9am to 6pm. Salary : Starting from Rs.10000/-PM. (As per experience) ,"
Jr. Accountant,MyCitySurat,0 to 1 Yr,Surat,"Skills :mis, finance, taxation, cash, control","Candidate should be HSC or Graduate. Should have basic knowledge of Tally. Job Timing : 10:00am - 7:00pm. Salary : Upto Rs.10000/-PM. ,"
Jr. PHP Developer,MyCitySurat,0 to 1 Yr,Surat,"Skills :PHP, Laravel, CI, Jquery, MVC","Candidate should be Graduate or Above (BCA, MCA, B.Sc. IT, M.Sc. IT, B.E.). Should have minimum 6 months of experience in same field. Job Timing : 9.00AM to 6.00PM. Salary"
Laboratory Assistant,MyCitySurat,1 to 2 Yrs,Surat,"Skills :RD, QC, basic knowledge of w, king in the lab, at","Candidate should be I.T.I Laboratory. Should have to assist in laboratory for preparation work. Candidate should be from Sachin, Bhestan or Navsari. Job Timing : 8:00am - 6:00pm. Salary :"
Laboratory Chemist,MyCitySurat,0 to 1 Yr,Surat,"Skills :RD, QC, basic knowledge of lab, at, y","Candidate should be B.Sc. Chemist. Should have basic knowledge of working in the laboratory. Job timing : 8:00am - 6:00pm. Salary : Upto Rs. 10000/-. ,"
Laravel Developer,MyCitySurat,0 to 1 Yr,Surat,"Skills :php, css, laravel, bootstrap, javascript","Candidate should have minimum 0-1 years of Experience. Should have good knowledge of PHP Core, Laravel/CakePHP , CSS, JavaScript, Node.js, Bootstrap. Job Timing :9:00am - 6:00pm. Salary : Rs.7000/- to"
Marketing Executive,MyCitySurat,1 Yrs,Surat,"Skills :Marketing, sales, business development, good communication skills","Candidate should be Graduate. Should have 1 year of experience in same field. Job Timing : 10.00AM to 7.00PM. Salary : Upto Rs.15000/-PM. ,"
Marketing Executive,MyCitySurat,1 to 2 Yrs,Surat,"Skills :marketing, sales, business development, good communication skills",Candidate should be Graduate. Should have 1 to 2 years of marketing experience. Must be fluent in English and with pleasant personality. Should be from the Educational industry sales backgrounds.
Marketing Executive,MyCitySurat,1 to 3 Yrs,Surat,"Skills :Marketing, business development, good communication skills","Candidate should be Any Graduate. Should have minimum 1-3 years of experience. Job Timing : 9.30AM to 8.00PM. Salary : Rs.10000/- to 15000/-PM + Incentive + Petrol Allowance. ,"
Marketing Executive,MyCitySurat,1 to 4 Yrs,Surat,"Skills :Marketing, business development, good communication skills","Candidate should have 1 year of experience in same field. Should have good communication skills. Job Timing : 9:00am - 8:00pm. Salary : Rs.12000/- to 15000/-PM. ,"
Marketing Manager,MyCitySurat,3 to 5 Yrs,Surat,"Skills :Marketing, business development, good communication skills",Candidate should be Diploma in Electrical/Commerce Graduate. Should have minimum 3 to 5 years of experience in electrical field. Job timing : 9:30am - 7:30pm. Salary: Rs.15000/- to Rs.20000/- PM.
Mean Stack Developer,MyCitySurat,1 Yrs,Surat,"Skills :Angular, Java Script, jQuery, AJAX, NodeJs","Candidate should be Any Graduate. Should have minimum 1 year of experience with Angular, NodeJs. Job Timing : 11.00AM to 8.00PM. Salary : Upto Rs.15000/-PM. ,"
